timestamp_id,timestamp_val,timestamp_diff
0x00000000,3306,3306
0x00000002,2978,-328
0x00000004,2649,-329
0x00000006,2322,-327
0x00000008,1994,-328
0x0000000a,1763,-231
0x0000000c,1765,2
0x0000000e,3214,1449
0x00000010,2885,-329
0x00000012,2557,-328
0x00000014,2231,-326
0x00000016,1902,-329
0x00000018,1764,-138
0x0000001a,1765,1
0x0000001c,3121,1356
0x0000001e,2793,-328
0x00000020,2466,-327
0x00000022,2138,-328
0x00000024,1810,-328
0x00000026,1764,-46
0x00000028,1764,0
0x0000002a,3030,1266
0x0000002c,2702,-328
0x0000002e,2373,-329
0x00000030,2046,-327
0x00000032,1764,-282
0x00000034,1763,-1
0x00000036,3266,1503
0x00000038,2938,-328
0x0000003a,2609,-329
0x0000003c,2282,-327
0x0000003e,1955,-327
0x00000040,1763,-192
0x00000042,1764,1
0x00000044,3174,1410
0x00000046,2845,-329
0x00000048,2517,-328
0x0000004a,2191,-326
0x0000004c,1862,-329
0x0000004e,1764,-98
0x00000050,1765,1
0x00000052,3081,1316
0x00000054,2754,-327
0x00000056,2426,-328
0x00000058,2098,-328
0x0000005a,1770,-328
0x0000005c,1764,-6
0x0000005e,1764,0
0x00000060,2990,1226
0x00000062,2662,-328
0x00000064,2333,-329
0x00000066,2006,-327
0x00000068,1763,-243
0x0000006a,1763,0
0x0000006c,3226,1463
0x0000006e,2897,-329
0x00000070,2569,-328
0x00000072,2243,-326
0x00000074,1914,-329
0x00000076,1763,-151
0x00000078,1764,1
0x0000007a,3133,1369
0x0000007c,2805,-328
0x0000007e,2478,-327
0x00000080,2150,-328
0x00000082,1822,-328
0x00000084,1764,-58
0x00000086,1764,0
0x00000088,3042,1278
0x0000008a,2714,-328
0x0000008c,2385,-329
0x0000008e,2058,-327
0x00000090,1765,-293
0x00000092,1763,-2
0x00000094,3277,1514
0x00000096,2950,-327
0x00000098,2621,-329
0x0000009a,2293,-328
0x0000009c,1967,-326
0x0000009e,1764,-203
0x000000a0,1764,0
0x000000a2,3186,1422
0x000000a4,2857,-329
0x000000a6,2529,-328
0x000000a8,2202,-327
0x000000aa,1874,-328
0x000000ac,1763,-111
0x000000ae,1764,1
0x000000b0,3093,1329
0x000000b2,2766,-327
0x000000b4,2438,-328
0x000000b6,2110,-328
0x000000b8,1782,-328
0x000000ba,1764,-18
0x000000bc,1763,-1
0x000000be,3002,1239
0x000000c0,2674,-328
0x000000c2,2345,-329
0x000000c4,2018,-327
0x000000c6,1765,-253
0x000000c8,1763,-2
0x000000ca,3237,1474
0x000000cc,2910,-327
0x000000ce,2581,-329
0x000000d0,2254,-327
0x000000d2,1926,-328
0x000000d4,1764,-162
0x000000d6,1764,0
0x000000d8,3146,1382
0x000000da,2817,-329
0x000000dc,2490,-327
0x000000de,2161,-329
0x000000e0,1834,-327
0x000000e2,1765,-69
0x000000e4,1763,-2
0x000000e6,3054,1291
0x000000e8,2726,-328
0x000000ea,2397,-329
0x000000ec,2070,-327
0x000000ee,1765,-305
0x000000f0,1764,-1
0x000000f2,3289,1525
0x000000f4,2962,-327
0x000000f6,2633,-329
0x000000f8,2305,-328
0x000000fa,1979,-326
0x000000fc,1764,-215
0x000000fe,1764,0
0x00000100,3197,1433
0x00000102,2869,-328
0x00000104,2541,-328
0x00000106,2214,-327
0x00000108,1886,-328
0x0000010a,1764,-122
0x0000010c,1764,0
0x0000010e,3104,1340
0x00000110,2778,-326
0x00000112,2450,-328
0x00000114,2121,-329
0x00000116,1794,-327
0x00000118,1765,-29
0x0000011a,1763,-2
0x0000011c,3014,1251
0x0000011e,2686,-328
0x00000120,2357,-329
0x00000122,2029,-328
0x00000124,1765,-264
0x00000126,1764,-1
0x00000128,3249,1485
0x0000012a,2922,-327
0x0000012c,2593,-329
0x0000012e,2266,-327
0x00000130,1939,-327
0x00000132,1764,-175
0x00000134,1764,0
0x00000136,3157,1393
0x00000138,2829,-328
0x0000013a,2502,-327
0x0000013c,2174,-328
0x0000013e,1846,-328
0x00000140,1764,-82
0x00000142,1765,1
0x00000144,3065,1300
0x00000146,2738,-327
0x00000148,2410,-328
0x0000014a,2081,-329
0x0000014c,1764,-317
0x0000014e,1764,0
0x00000150,3301,1537
0x00000152,2974,-327
0x00000154,2645,-329
0x00000156,2317,-328
0x00000158,1990,-327
0x0000015a,1764,-226
0x0000015c,1764,0
0x0000015e,3209,1445
0x00000160,2881,-328
0x00000162,2553,-328
0x00000164,2226,-327
0x00000166,1898,-328
0x00000168,1764,-134
0x0000016a,1764,0
0x0000016c,3116,1352
0x0000016e,2790,-326
0x00000170,2462,-328
0x00000172,2133,-329
0x00000174,1806,-327
0x00000176,1764,-42
0x00000178,1764,0
0x0000017a,3025,1261
0x0000017c,2698,-327
