timestamp_id,timestamp_val,timestamp_diff
0x20000000,531,531
0x20000002,506,-25
0x20000004,481,-25
0x20000006,456,-25
0x20000008,431,-25
0x2000000a,406,-25
0x2000000c,381,-25
0x2000000e,376,-5
0x20000010,547,171
0x20000012,522,-25
0x20000014,497,-25
0x20000016,472,-25
0x20000018,447,-25
0x2000001a,422,-25
0x2000001c,397,-25
0x2000001e,376,-21
0x20000020,563,187
0x20000022,538,-25
0x20000024,513,-25
0x20000026,488,-25
0x20000028,463,-25
0x2000002a,438,-25
0x2000002c,413,-25
0x2000002e,388,-25
0x20000030,376,-12
0x20000032,554,178
0x20000034,529,-25
0x20000036,504,-25
0x20000038,479,-25
0x2000003a,454,-25
0x2000003c,429,-25
0x2000003e,404,-25
0x20000040,379,-25
0x20000042,376,-3
0x20000044,545,169
0x20000046,520,-25
0x20000048,495,-25
0x2000004a,470,-25
0x2000004c,445,-25
0x2000004e,420,-25
0x20000050,395,-25
0x20000052,376,-19
0x20000054,561,185
0x20000056,536,-25
0x20000058,511,-25
0x2000005a,486,-25
0x2000005c,461,-25
0x2000005e,436,-25
0x20000060,411,-25
0x20000062,386,-25
0x20000064,376,-10
0x20000066,552,176
0x20000068,527,-25
0x2000006a,502,-25
0x2000006c,477,-25
0x2000006e,452,-25
0x20000070,427,-25
0x20000072,402,-25
0x20000074,377,-25
0x20000076,568,191
0x20000078,543,-25
0x2000007a,518,-25
0x2000007c,493,-25
0x2000007e,468,-25
0x20000080,443,-25
0x20000082,418,-25
0x20000084,393,-25
0x20000086,376,-17
0x20000088,559,183
0x2000008a,534,-25
0x2000008c,509,-25
0x2000008e,484,-25
0x20000090,459,-25
0x20000092,434,-25
0x20000094,409,-25
0x20000096,384,-25
0x20000098,376,-8
0x2000009a,550,174
0x2000009c,525,-25
0x2000009e,500,-25
0x200000a0,475,-25
0x200000a2,450,-25
0x200000a4,425,-25
0x200000a6,400,-25
0x200000a8,376,-24
0x200000aa,566,190
0x200000ac,541,-25
0x200000ae,516,-25
0x200000b0,491,-25
0x200000b2,466,-25
0x200000b4,441,-25
0x200000b6,416,-25
0x200000b8,391,-25
0x200000ba,376,-15
0x200000bc,557,181
0x200000be,531,-26
0x200000c0,506,-25
0x200000c2,481,-25
0x200000c4,456,-25
0x200000c6,431,-25
0x200000c8,406,-25
0x200000ca,381,-25
0x200000cc,375,-6
0x200000ce,547,172
0x200000d0,522,-25
0x200000d2,497,-25
0x200000d4,472,-25
0x200000d6,447,-25
0x200000d8,423,-24
0x200000da,398,-25
0x200000dc,376,-22
0x200000de,564,188
0x200000e0,539,-25
0x200000e2,514,-25
0x200000e4,489,-25
0x200000e6,464,-25
0x200000e8,439,-25
0x200000ea,414,-25
0x200000ec,389,-25
0x200000ee,376,-13
0x200000f0,555,179
0x200000f2,530,-25
0x200000f4,505,-25
0x200000f6,480,-25
0x200000f8,455,-25
0x200000fa,430,-25
0x200000fc,405,-25
0x200000fe,380,-25
0x20000100,376,-4
0x20000102,546,170
0x20000104,521,-25
0x20000106,496,-25
0x20000108,471,-25
0x2000010a,446,-25
0x2000010c,421,-25
