timestamp_id,timestamp_val,timestamp_diff
0x00000000,506,506
0x00000002,424,-82
0x00000004,535,111
0x00000006,453,-82
0x00000008,564,111
0x0000000a,482,-82
0x0000000c,400,-82
0x0000000e,511,111
0x00000010,429,-82
0x00000012,540,111
0x00000014,458,-82
0x00000016,376,-82
0x00000018,487,111
0x0000001a,405,-82
0x0000001c,516,111
0x0000001e,434,-82
0x00000020,545,111
0x00000022,463,-82
0x00000024,381,-82
0x00000026,492,111
0x00000028,410,-82
0x0000002a,521,111
0x0000002c,439,-82
0x0000002e,550,111
0x00000030,468,-82
0x00000032,386,-82
0x00000034,497,111
0x00000036,415,-82
0x00000038,526,111
0x0000003a,444,-82
0x0000003c,555,111
0x0000003e,473,-82
0x00000040,391,-82
0x00000042,502,111
0x00000044,420,-82
0x00000046,531,111
0x00000048,449,-82
0x0000004a,560,111
0x0000004c,478,-82
0x0000004e,396,-82
0x00000050,507,111
0x00000052,425,-82
0x00000054,536,111
0x00000056,454,-82
0x00000058,565,111
0x0000005a,483,-82
0x0000005c,401,-82
0x0000005e,512,111
0x00000060,430,-82
0x00000062,541,111
0x00000064,459,-82
0x00000066,377,-82
0x00000068,488,111
0x0000006a,406,-82
0x0000006c,517,111
0x0000006e,435,-82
0x00000070,546,111
0x00000072,464,-82
0x00000074,382,-82
0x00000076,493,111
0x00000078,411,-82
0x0000007a,522,111
0x0000007c,440,-82
0x0000007e,551,111
0x00000080,469,-82
0x00000082,387,-82
0x00000084,498,111
0x00000086,416,-82
0x00000088,527,111
0x0000008a,445,-82
0x0000008c,556,111
0x0000008e,474,-82
0x00000090,392,-82
0x00000092,503,111
0x00000094,421,-82
0x00000096,532,111
0x00000098,450,-82
0x0000009a,561,111
0x0000009c,479,-82
0x0000009e,397,-82
0x000000a0,508,111
0x000000a2,426,-82
0x000000a4,537,111
0x000000a6,455,-82
0x000000a8,566,111
0x000000aa,484,-82
0x000000ac,402,-82
0x000000ae,513,111
0x000000b0,431,-82
0x000000b2,542,111
0x000000b4,460,-82
0x000000b6,378,-82
0x000000b8,489,111
0x000000ba,407,-82
0x000000bc,518,111
0x000000be,436,-82
0x000000c0,547,111
0x000000c2,465,-82
0x000000c4,383,-82
0x000000c6,494,111
0x000000c8,412,-82
0x000000ca,523,111
0x000000cc,441,-82
0x000000ce,552,111
0x000000d0,470,-82
0x000000d2,388,-82
0x000000d4,499,111
0x000000d6,417,-82
0x000000d8,528,111
0x000000da,446,-82
0x000000dc,557,111
0x000000de,475,-82
0x000000e0,393,-82
0x000000e2,504,111
0x000000e4,422,-82
0x000000e6,533,111
0x000000e8,451,-82
0x000000ea,562,111
0x000000ec,480,-82
0x000000ee,398,-82
0x000000f0,509,111
0x000000f2,427,-82
0x000000f4,538,111
0x000000f6,456,-82
0x000000f8,567,111
0x000000fa,485,-82
0x000000fc,403,-82
0x000000fe,514,111
0x00000100,432,-82
0x00000102,543,111
0x00000104,461,-82
0x00000106,379,-82
0x00000108,490,111
0x0000010a,408,-82
0x0000010c,519,111
0x0000010e,437,-82
0x00000110,548,111
0x00000112,466,-82
0x00000114,384,-82
0x00000116,495,111
0x00000118,413,-82
0x0000011a,524,111
0x0000011c,442,-82
0x0000011e,553,111
0x00000120,471,-82
0x00000122,389,-82
0x00000124,500,111
0x00000126,418,-82
0x00000128,529,111
0x0000012a,447,-82
0x0000012c,558,111
0x0000012e,476,-82
0x00000130,394,-82
0x00000132,505,111
0x00000134,423,-82
0x00000136,534,111
0x00000138,452,-82
0x0000013a,563,111
0x0000013c,481,-82
0x0000013e,399,-82
0x00000140,510,111
0x00000142,428,-82
0x00000144,539,111
0x00000146,457,-82
0x00000148,568,111
0x0000014a,486,-82
0x0000014c,404,-82
0x0000014e,515,111
0x00000150,433,-82
0x00000152,544,111
0x00000154,462,-82
0x00000156,380,-82
0x00000158,491,111
0x0000015a,409,-82
0x0000015c,520,111
0x0000015e,438,-82
0x00000160,549,111
0x00000162,467,-82
0x00000164,385,-82
0x00000166,496,111
0x00000168,414,-82
0x0000016a,525,111
0x0000016c,443,-82
0x0000016e,554,111
0x00000170,472,-82
0x00000172,390,-82
0x00000174,501,111
0x00000176,419,-82
0x00000178,530,111
0x0000017a,448,-82
0x0000017c,559,111
0x0000017e,477,-82
0x00000180,395,-82
0x00000182,506,111
0x00000184,424,-82
0x00000186,535,111
0x00000188,453,-82
0x0000018a,564,111
0x0000018c,482,-82
0x0000018e,400,-82
0x00000190,511,111
0x00000192,429,-82
0x00000194,540,111
0x00000196,458,-82
0x00000198,376,-82
0x0000019a,487,111
0x0000019c,405,-82
0x0000019e,516,111
0x000001a0,434,-82
0x000001a2,545,111
0x000001a4,463,-82
0x000001a6,381,-82
0x000001a8,492,111
0x000001aa,410,-82
0x000001ac,521,111
0x000001ae,439,-82
0x000001b0,550,111
0x000001b2,468,-82
0x000001b4,386,-82
0x000001b6,497,111
0x000001b8,415,-82
0x000001ba,526,111
0x000001bc,444,-82
0x000001be,555,111
0x000001c0,473,-82
0x000001c2,391,-82
0x000001c4,502,111
0x000001c6,420,-82
0x000001c8,531,111
0x000001ca,449,-82
0x000001cc,560,111
0x000001ce,478,-82
0x000001d0,396,-82
0x000001d2,507,111
0x000001d4,425,-82
0x000001d6,536,111
0x000001d8,454,-82
0x000001da,565,111
0x000001dc,483,-82
0x000001de,401,-82
0x000001e0,512,111
0x000001e2,430,-82
0x000001e4,541,111
0x000001e6,459,-82
0x000001e8,377,-82
0x000001ea,488,111
0x000001ec,406,-82
0x000001ee,517,111
0x000001f0,435,-82
0x000001f2,546,111
0x000001f4,464,-82
0x000001f6,382,-82
0x000001f8,493,111
0x000001fa,411,-82
0x000001fc,522,111
0x000001fe,440,-82
0x00000200,551,111
0x00000202,469,-82
0x00000204,387,-82
0x00000206,498,111
0x00000208,416,-82
0x0000020a,527,111
0x0000020c,445,-82
0x0000020e,556,111
0x00000210,474,-82
0x00000212,392,-82
0x00000214,503,111
0x00000216,421,-82
0x00000218,532,111
0x0000021a,450,-82
0x0000021c,561,111
0x0000021e,479,-82
0x00000220,397,-82
0x00000222,508,111
0x00000224,426,-82
0x00000226,537,111
0x00000228,455,-82
0x0000022a,566,111
0x0000022c,484,-82
0x0000022e,402,-82
0x00000230,513,111
0x00000232,431,-82
0x00000234,542,111
0x00000236,460,-82
0x00000238,378,-82
0x0000023a,489,111
0x0000023c,407,-82
0x0000023e,518,111
0x00000240,436,-82
0x00000242,547,111
0x00000244,465,-82
0x00000246,383,-82
0x00000248,494,111
0x0000024a,412,-82
0x0000024c,523,111
0x0000024e,441,-82
0x00000250,552,111
0x00000252,470,-82
0x00000254,388,-82
0x00000256,499,111
0x00000258,417,-82
0x0000025a,528,111
0x0000025c,446,-82
0x0000025e,557,111
0x00000260,475,-82
0x00000262,393,-82
0x00000264,504,111
0x00000266,422,-82
0x00000268,533,111
0x0000026a,451,-82
0x0000026c,562,111
0x0000026e,480,-82
0x00000270,398,-82
0x00000272,509,111
0x00000274,427,-82
0x00000276,538,111
0x00000278,456,-82
0x0000027a,567,111
0x0000027c,485,-82
0x0000027e,403,-82
0x00000280,514,111
0x00000282,432,-82
0x00000284,543,111
0x00000286,461,-82
0x00000288,379,-82
0x0000028a,490,111
0x0000028c,408,-82
0x0000028e,519,111
0x00000290,437,-82
0x00000292,548,111
0x00000294,466,-82
0x00000296,384,-82
0x00000298,495,111
0x0000029a,413,-82
0x0000029c,524,111
0x0000029e,442,-82
0x000002a0,553,111
0x000002a2,471,-82
0x000002a4,389,-82
0x000002a6,500,111
0x000002a8,418,-82
0x000002aa,529,111
0x000002ac,447,-82
0x000002ae,558,111
0x000002b0,476,-82
0x000002b2,394,-82
0x000002b4,505,111
0x000002b6,423,-82
0x000002b8,534,111
0x000002ba,452,-82
0x000002bc,563,111
0x000002be,481,-82
0x000002c0,399,-82
0x000002c2,510,111
0x000002c4,428,-82
0x000002c6,539,111
0x000002c8,457,-82
0x000002ca,568,111
0x000002cc,486,-82
0x000002ce,404,-82
0x000002d0,515,111
0x000002d2,433,-82
0x000002d4,544,111
0x000002d6,462,-82
0x000002d8,380,-82
0x000002da,491,111
0x000002dc,409,-82
0x000002de,520,111
0x000002e0,438,-82
0x000002e2,549,111
0x000002e4,467,-82
0x000002e6,385,-82
0x000002e8,496,111
0x000002ea,414,-82
0x000002ec,525,111
0x000002ee,443,-82
0x000002f0,554,111
0x000002f2,472,-82
0x000002f4,390,-82
0x000002f6,501,111
0x000002f8,419,-82
0x000002fa,530,111
0x000002fc,448,-82
0x000002fe,559,111
0x00000300,477,-82
0x00000302,395,-82
0x00000304,506,111
0x00000306,424,-82
0x00000308,535,111
0x0000030a,453,-82
0x0000030c,564,111
0x0000030e,482,-82
0x00000310,400,-82
0x00000312,511,111
0x00000314,429,-82
0x00000316,540,111
0x00000318,458,-82
0x0000031a,376,-82
0x0000031c,487,111
0x0000031e,405,-82
0x00000320,516,111
0x00000322,434,-82
0x00000324,545,111
0x00000326,463,-82
0x00000328,381,-82
0x0000032a,492,111
0x0000032c,410,-82
0x0000032e,521,111
0x00000330,439,-82
0x00000332,550,111
0x00000334,468,-82
0x00000336,386,-82
0x00000338,497,111
0x0000033a,415,-82
0x0000033c,526,111
0x0000033e,444,-82
0x00000340,555,111
0x00000342,473,-82
0x00000344,391,-82
0x00000346,502,111
0x00000348,420,-82
0x0000034a,531,111
