timestamp_id,timestamp_val,timestamp_diff
0x40000000,134,134
0x40000002,377,243
0x40000004,185,-192
0x40000006,122,-63
0x40000008,122,0
0x4000000a,122,0
0x4000000c,379,257
0x4000000e,187,-192
0x40000010,122,-65
0x40000012,122,0
0x40000014,122,0
0x40000016,382,260
0x40000018,190,-192
0x4000001a,122,-68
0x4000001c,122,0
0x4000001e,122,0
0x40000020,384,262
0x40000022,192,-192
0x40000024,122,-70
0x40000026,122,0
0x40000028,122,0
0x4000002a,387,265
0x4000002c,195,-192
0x4000002e,122,-73
0x40000030,122,0
0x40000032,122,0
0x40000034,196,74
0x40000036,197,1
0x40000038,122,-75
0x4000003a,122,0
0x4000003c,122,0
0x4000003e,199,77
0x40000040,200,1
0x40000042,122,-78
0x40000044,122,0
0x40000046,122,0
0x40000048,201,79
0x4000004a,202,1
0x4000004c,122,-80
0x4000004e,122,0
0x40000050,122,0
0x40000052,204,82
0x40000054,205,1
0x40000056,122,-83
0x40000058,122,0
0x4000005a,122,0
0x4000005c,206,84
0x4000005e,207,1
0x40000060,122,-85
0x40000062,122,0
0x40000064,122,0
0x40000066,209,87
0x40000068,239,30
0x4000006a,122,-117
0x4000006c,122,0
0x4000006e,122,0
0x40000070,211,89
0x40000072,283,72
0x40000074,122,-161
0x40000076,122,0
0x40000078,122,0
0x4000007a,214,92
0x4000007c,122,-92
0x4000007e,123,1
0x40000080,122,-1
0x40000082,122,0
0x40000084,216,94
0x40000086,122,-94
0x40000088,123,1
0x4000008a,122,-1
0x4000008c,122,0
0x4000008e,219,97
0x40000090,122,-97
0x40000092,123,1
0x40000094,122,-1
0x40000096,122,0
0x40000098,221,99
0x4000009a,122,-99
0x4000009c,123,1
0x4000009e,122,-1
0x400000a0,122,0
0x400000a2,224,102
0x400000a4,122,-102
0x400000a6,123,1
0x400000a8,122,-1
0x400000aa,122,0
0x400000ac,226,104
0x400000ae,122,-104
0x400000b0,162,40
0x400000b2,122,-40
0x400000b4,122,0
0x400000b6,229,107
0x400000b8,122,-107
0x400000ba,206,84
0x400000bc,122,-84
0x400000be,122,0
0x400000c0,231,109
0x400000c2,122,-109
0x400000c4,250,128
0x400000c6,122,-128
0x400000c8,122,0
0x400000ca,234,112
0x400000cc,122,-112
0x400000ce,294,172
0x400000d0,122,-172
0x400000d2,122,0
0x400000d4,236,114
0x400000d6,122,-114
0x400000d8,122,0
0x400000da,123,1
0x400000dc,122,-1
0x400000de,239,117
0x400000e0,122,-117
0x400000e2,122,0
0x400000e4,123,1
0x400000e6,122,-1
0x400000e8,241,119
0x400000ea,122,-119
0x400000ec,122,0
0x400000ee,123,1
0x400000f0,122,-1
0x400000f2,244,122
0x400000f4,122,-122
0x400000f6,122,0
0x400000f8,123,1
0x400000fa,122,-1
0x400000fc,246,124
0x400000fe,122,-124
0x40000100,122,0
0x40000102,129,7
0x40000104,122,-7
0x40000106,249,127
0x40000108,122,-127
0x4000010a,122,0
0x4000010c,173,51
0x4000010e,122,-51
0x40000110,251,129
0x40000112,122,-129
0x40000114,122,0
0x40000116,217,95
0x40000118,122,-95
0x4000011a,254,132
0x4000011c,122,-132
0x4000011e,122,0
0x40000120,261,139
0x40000122,122,-139
0x40000124,256,134
0x40000126,122,-134
0x40000128,122,0
0x4000012a,305,183
0x4000012c,122,-183
0x4000012e,259,137
0x40000130,122,-137
0x40000132,122,0
0x40000134,122,0
0x40000136,123,1
0x40000138,261,138
0x4000013a,122,-139
0x4000013c,122,0
0x4000013e,122,0
0x40000140,123,1
0x40000142,264,141
0x40000144,122,-142
0x40000146,122,0
0x40000148,122,0
0x4000014a,123,1
0x4000014c,266,143
0x4000014e,122,-144
0x40000150,122,0
0x40000152,122,0
0x40000154,123,1
0x40000156,269,146
0x40000158,122,-147
0x4000015a,122,0
0x4000015c,122,0
0x4000015e,140,18
0x40000160,271,131
0x40000162,122,-149
0x40000164,122,0
0x40000166,128,6
0x40000168,184,56
0x4000016a,274,90
0x4000016c,122,-152
0x4000016e,122,0
0x40000170,122,0
0x40000172,228,106
0x40000174,276,48
0x40000176,122,-154
0x40000178,122,0
0x4000017a,122,0
0x4000017c,272,150
0x4000017e,279,7
0x40000180,122,-157
0x40000182,122,0
0x40000184,122,0
0x40000186,122,0
0x40000188,316,194
0x4000018a,124,-192
0x4000018c,122,-2
0x4000018e,122,0
0x40000190,122,0
0x40000192,316,194
0x40000194,124,-192
0x40000196,122,-2
0x40000198,122,0
0x4000019a,122,0
0x4000019c,316,194
0x4000019e,124,-192
0x400001a0,122,-2
0x400001a2,122,0
0x400001a4,122,0
0x400001a6,316,194
0x400001a8,124,-192
0x400001aa,122,-2
0x400001ac,122,0
0x400001ae,122,0
0x400001b0,316,194
0x400001b2,124,-192
0x400001b4,122,-2
0x400001b6,122,0
0x400001b8,122,0
0x400001ba,344,222
0x400001bc,152,-192
0x400001be,122,-30
0x400001c0,122,0
0x400001c2,122,0
0x400001c4,195,73
0x400001c6,122,-73
0x400001c8,122,0
0x400001ca,264,142
0x400001cc,122,-142
0x400001ce,239,117
0x400001d0,122,-117
0x400001d2,122,0
0x400001d4,266,144
0x400001d6,122,-144
0x400001d8,283,161
0x400001da,122,-161
0x400001dc,122,0
0x400001de,269,147
0x400001e0,122,-147
0x400001e2,122,0
0x400001e4,123,1
0x400001e6,122,-1
0x400001e8,271,149
0x400001ea,122,-149
0x400001ec,122,0
0x400001ee,123,1
0x400001f0,122,-1
0x400001f2,274,152
0x400001f4,122,-152
0x400001f6,122,0
0x400001f8,123,1
0x400001fa,122,-1
0x400001fc,276,154
0x400001fe,122,-154
0x40000200,122,0
0x40000202,123,1
0x40000204,122,-1
0x40000206,279,157
0x40000208,122,-157
0x4000020a,122,0
0x4000020c,123,1
0x4000020e,122,-1
0x40000210,281,159
0x40000212,122,-159
0x40000214,122,0
0x40000216,162,40
0x40000218,122,-40
0x4000021a,284,162
0x4000021c,122,-162
0x4000021e,122,0
0x40000220,206,84
0x40000222,122,-84
0x40000224,286,164
0x40000226,122,-164
0x40000228,122,0
0x4000022a,250,128
0x4000022c,122,-128
0x4000022e,289,167
0x40000230,122,-167
0x40000232,122,0
0x40000234,294,172
0x40000236,122,-172
0x40000238,291,169
0x4000023a,122,-169
0x4000023c,122,0
0x4000023e,122,0
0x40000240,123,1
0x40000242,294,171
0x40000244,122,-172
0x40000246,122,0
0x40000248,122,0
0x4000024a,123,1
0x4000024c,296,173
0x4000024e,122,-174
0x40000250,122,0
0x40000252,122,0
0x40000254,123,1
0x40000256,299,176
0x40000258,122,-177
0x4000025a,122,0
0x4000025c,122,0
0x4000025e,123,1
0x40000260,301,178
0x40000262,122,-179
0x40000264,122,0
0x40000266,122,0
0x40000268,129,7
0x4000026a,304,175
0x4000026c,122,-182
0x4000026e,122,0
0x40000270,122,0
0x40000272,173,51
0x40000274,306,133
0x40000276,122,-184
0x40000278,122,0
0x4000027a,122,0
0x4000027c,217,95
0x4000027e,309,92
0x40000280,122,-187
0x40000282,122,0
0x40000284,122,0
0x40000286,261,139
0x40000288,311,50
0x4000028a,122,-189
0x4000028c,122,0
0x4000028e,122,0
0x40000290,305,183
