timestamp_id,timestamp_val,timestamp_diff
0x40000000,305,305
0x40000002,305,0
0x40000004,423,118
0x40000006,305,-118
0x40000008,411,106
0x4000000a,523,112
0x4000000c,445,-78
0x4000000e,579,134
0x40000010,662,83
0x40000012,728,66
0x40000014,828,100
0x40000016,855,27
0x40000018,727,-128
0x4000001a,891,164
0x4000001c,922,31
0x4000001e,841,-81
0x40000020,812,-29
0x40000022,946,134
0x40000024,889,-57
0x40000026,805,-84
0x40000028,693,-112
0x4000002a,800,107
0x4000002c,650,-150
0x4000002e,702,52
0x40000030,799,97
0x40000032,974,175
0x40000034,1028,54
0x40000036,902,-126
0x40000038,1160,258
0x4000003a,1446,286
0x4000003c,1310,-136
0x4000003e,1214,-96
0x40000040,1347,133
0x40000042,1376,29
0x40000044,1413,37
0x40000046,1683,270
0x40000048,1685,2
0x4000004a,1750,65
0x4000004c,1416,-334
0x4000004e,1530,114
0x40000050,1547,17
0x40000052,1468,-79
0x40000054,1500,32
0x40000056,1456,-44
0x40000058,1339,-117
0x4000005a,1795,456
0x4000005c,1737,-58
0x4000005e,1831,94
0x40000060,1867,36
0x40000062,1810,-57
0x40000064,1768,-42
0x40000066,1756,-12
0x40000068,1759,3
0x4000006a,1906,147
0x4000006c,1989,83
0x4000006e,2094,105
0x40000070,2042,-52
0x40000072,1873,-169
0x40000074,1903,30
0x40000076,1702,-201
0x40000078,1766,64
0x4000007a,1712,-54
0x4000007c,1690,-22
0x4000007e,1785,95
0x40000080,1774,-11
0x40000082,1822,48
0x40000084,1967,145
0x40000086,1996,29
0x40000088,1944,-52
0x4000008a,1705,-239
0x4000008c,1756,51
0x4000008e,1559,-197
0x40000090,1596,37
0x40000092,1404,-192
0x40000094,1157,-247
0x40000096,967,-190
0x40000098,845,-122
0x4000009a,762,-83
0x4000009c,622,-140
0x4000009e,527,-95
0x400000a0,641,114
0x400000a2,679,38
0x400000a4,699,20
0x400000a6,804,105
0x400000a8,470,-334
0x400000aa,497,27
0x400000ac,582,85
0x400000ae,561,-21
0x400000b0,750,189
0x400000b2,858,108
0x400000b4,847,-11
0x400000b6,728,-119
0x400000b8,584,-144
0x400000ba,522,-62
0x400000bc,473,-49
0x400000be,456,-17
0x400000c0,481,25
0x400000c2,508,27
0x400000c4,305,-203
0x400000c6,305,0
0x400000c8,308,3
0x400000ca,345,37
0x400000cc,305,-40
0x400000ce,444,139
0x400000d0,617,173
0x400000d2,529,-88
0x400000d4,449,-80
0x400000d6,527,78
0x400000d8,630,103
0x400000da,491,-139
0x400000dc,643,152
0x400000de,720,77
0x400000e0,768,48
0x400000e2,794,26
0x400000e4,785,-9
0x400000e6,838,53
0x400000e8,868,30
0x400000ea,890,22
0x400000ec,832,-58
0x400000ee,943,111
0x400000f0,769,-174
0x400000f2,816,47
0x400000f4,890,74
0x400000f6,949,59
0x400000f8,992,43
0x400000fa,987,-5
0x400000fc,1042,55
0x400000fe,877,-165
0x40000100,820,-57
0x40000102,923,103
0x40000104,967,44
0x40000106,982,15
0x40000108,925,-57
0x4000010a,920,-5
0x4000010c,946,26
0x4000010e,1089,143
0x40000110,887,-202
0x40000112,864,-23
0x40000114,896,32
0x40000116,966,70
0x40000118,833,-133
0x4000011a,762,-71
0x4000011c,708,-54
0x4000011e,564,-144
0x40000120,710,146
0x40000122,735,25
0x40000124,838,103
0x40000126,797,-41
0x40000128,1002,205
0x4000012a,952,-50
0x4000012c,868,-84
0x4000012e,665,-203
0x40000130,580,-85
0x40000132,644,64
0x40000134,783,139
0x40000136,788,5
0x40000138,482,-306
0x4000013a,335,-147
0x4000013c,305,-30
0x4000013e,550,245
0x40000140,756,206
0x40000142,691,-65
0x40000144,890,199
0x40000146,697,-193
0x40000148,997,300
0x4000014a,984,-13
0x4000014c,910,-74
0x4000014e,1002,92
0x40000150,1140,138
0x40000152,956,-184
0x40000154,962,6
0x40000156,1023,61
0x40000158,978,-45
0x4000015a,960,-18
0x4000015c,1010,50
0x4000015e,1166,156
0x40000160,1172,6
0x40000162,1336,164
0x40000164,1319,-17
0x40000166,1331,12
0x40000168,1266,-65
0x4000016a,1287,21
0x4000016c,1350,63
0x4000016e,1197,-153
0x40000170,1118,-79
0x40000172,1001,-117
0x40000174,942,-59
0x40000176,996,54
0x40000178,990,-6
0x4000017a,1058,68
0x4000017c,847,-211
0x4000017e,1017,170
0x40000180,1107,90
0x40000182,1205,98
0x40000184,1485,280
0x40000186,1368,-117
0x40000188,1305,-63
0x4000018a,1398,93
0x4000018c,1198,-200
0x4000018e,1435,237
0x40000190,1473,38
0x40000192,1377,-96
0x40000194,1409,32
0x40000196,1358,-51
0x40000198,1400,42
0x4000019a,1357,-43
0x4000019c,1296,-61
0x4000019e,1145,-151
0x400001a0,944,-201
0x400001a2,979,35
0x400001a4,861,-118
0x400001a6,930,69
0x400001a8,1111,181
0x400001aa,1141,30
0x400001ac,1262,121
0x400001ae,1380,118
0x400001b0,1345,-35
0x400001b2,1529,184
0x400001b4,1639,110
0x400001b6,1697,58
0x400001b8,1732,35
0x400001ba,1676,-56
0x400001bc,1812,136
0x400001be,1868,56
0x400001c0,1735,-133
0x400001c2,1673,-62
0x400001c4,1687,14
0x400001c6,1625,-62
0x400001c8,1576,-49
0x400001ca,1724,148
0x400001cc,1809,85
0x400001ce,1663,-146
0x400001d0,1609,-54
0x400001d2,1555,-54
0x400001d4,1498,-57
0x400001d6,1244,-254
0x400001d8,1343,99
0x400001da,1562,219
0x400001dc,1728,166
0x400001de,1600,-128
0x400001e0,1607,7
0x400001e2,1692,85
0x400001e4,1594,-98
0x400001e6,1419,-175
0x400001e8,1507,88
0x400001ea,1491,-16
0x400001ec,1664,173
0x400001ee,1537,-127
0x400001f0,1344,-193
0x400001f2,1207,-137
0x400001f4,1203,-4
0x400001f6,950,-253
0x400001f8,1077,127
0x400001fa,1196,119
0x400001fc,1051,-145
0x400001fe,846,-205
0x40000200,1161,315
0x40000202,988,-173
0x40000204,934,-54
0x40000206,1000,66
0x40000208,906,-94
0x4000020a,845,-61
0x4000020c,732,-113
0x4000020e,724,-8
0x40000210,730,6
0x40000212,777,47
0x40000214,738,-39
0x40000216,744,6
0x40000218,680,-64
0x4000021a,661,-19
0x4000021c,585,-76
0x4000021e,447,-138
0x40000220,396,-51
0x40000222,519,123
0x40000224,418,-101
0x40000226,609,191
0x40000228,434,-175
0x4000022a,305,-129
0x4000022c,305,0
0x4000022e,305,0
0x40000230,305,0
0x40000232,305,0
0x40000234,344,39
0x40000236,305,-39
0x40000238,389,84
0x4000023a,473,84
0x4000023c,305,-168
0x4000023e,379,74
0x40000240,539,160
0x40000242,691,152
0x40000244,674,-17
0x40000246,825,151
0x40000248,865,40
0x4000024a,788,-77
0x4000024c,831,43
0x4000024e,881,50
0x40000250,441,-440
0x40000252,448,7
0x40000254,426,-22
