timestamp_id,timestamp_val,timestamp_diff
0x20000000,303,303
0x20000002,439,136
0x20000004,382,-57
0x20000006,325,-57
0x20000008,467,142
0x2000000a,410,-57
0x2000000c,353,-57
0x2000000e,303,-50
0x20000010,439,136
0x20000012,382,-57
0x20000014,325,-57
0x20000016,469,144
0x20000018,412,-57
0x2000001a,355,-57
0x2000001c,303,-52
0x2000001e,439,136
0x20000020,382,-57
0x20000022,325,-57
0x20000024,470,145
0x20000026,413,-57
0x20000028,356,-57
0x2000002a,304,-52
0x2000002c,440,136
0x2000002e,383,-57
0x20000030,326,-57
0x20000032,471,145
0x20000034,414,-57
0x20000036,357,-57
0x20000038,304,-53
0x2000003a,441,137
0x2000003c,384,-57
0x2000003e,327,-57
0x20000040,472,145
0x20000042,415,-57
0x20000044,358,-57
0x20000046,304,-54
0x20000048,442,138
0x2000004a,385,-57
0x2000004c,328,-57
0x2000004e,473,145
0x20000050,416,-57
0x20000052,359,-57
0x20000054,304,-55
0x20000056,443,139
0x20000058,386,-57
0x2000005a,329,-57
0x2000005c,474,145
0x2000005e,417,-57
0x20000060,360,-57
0x20000062,304,-56
0x20000064,444,140
0x20000066,387,-57
0x20000068,330,-57
0x2000006a,475,145
0x2000006c,418,-57
0x2000006e,361,-57
0x20000070,304,-57
0x20000072,445,141
0x20000074,388,-57
0x20000076,331,-57
0x20000078,476,145
0x2000007a,419,-57
0x2000007c,362,-57
0x2000007e,305,-57
0x20000080,446,141
0x20000082,389,-57
0x20000084,332,-57
0x20000086,477,145
0x20000088,420,-57
0x2000008a,363,-57
0x2000008c,306,-57
0x2000008e,447,141
0x20000090,390,-57
0x20000092,333,-57
0x20000094,478,145
0x20000096,421,-57
0x20000098,364,-57
0x2000009a,307,-57
0x2000009c,448,141
0x2000009e,391,-57
0x200000a0,334,-57
0x200000a2,479,145
0x200000a4,422,-57
0x200000a6,365,-57
0x200000a8,308,-57
0x200000aa,449,141
0x200000ac,392,-57
0x200000ae,335,-57
0x200000b0,480,145
0x200000b2,423,-57
0x200000b4,366,-57
0x200000b6,309,-57
0x200000b8,450,141
0x200000ba,393,-57
0x200000bc,336,-57
0x200000be,481,145
0x200000c0,424,-57
0x200000c2,367,-57
0x200000c4,310,-57
0x200000c6,451,141
0x200000c8,394,-57
0x200000ca,337,-57
0x200000cc,482,145
0x200000ce,425,-57
0x200000d0,368,-57
0x200000d2,311,-57
0x200000d4,452,141
0x200000d6,395,-57
0x200000d8,338,-57
0x200000da,483,145
0x200000dc,425,-58
0x200000de,368,-57
0x200000e0,311,-57
0x200000e2,452,141
0x200000e4,395,-57
0x200000e6,338,-57
0x200000e8,483,145
0x200000ea,426,-57
0x200000ec,369,-57
0x200000ee,312,-57
0x200000f0,453,141
0x200000f2,396,-57
0x200000f4,339,-57
0x200000f6,484,145
0x200000f8,427,-57
0x200000fa,370,-57
0x200000fc,313,-57
0x200000fe,454,141
0x20000100,397,-57
0x20000102,340,-57
0x20000104,486,146
0x20000106,429,-57
0x20000108,372,-57
0x2000010a,315,-57
0x2000010c,456,141
0x2000010e,399,-57
0x20000110,342,-57
0x20000112,487,145
0x20000114,430,-57
0x20000116,373,-57
0x20000118,316,-57
0x2000011a,457,141
0x2000011c,400,-57
0x2000011e,343,-57
0x20000120,488,145
0x20000122,431,-57
0x20000124,374,-57
0x20000126,317,-57
0x20000128,458,141
0x2000012a,401,-57
0x2000012c,344,-57
0x2000012e,489,145
0x20000130,432,-57
0x20000132,375,-57
0x20000134,318,-57
0x20000136,459,141
0x20000138,402,-57
0x2000013a,345,-57
0x2000013c,490,145
0x2000013e,433,-57
0x20000140,376,-57
0x20000142,319,-57
0x20000144,460,141
0x20000146,403,-57
0x20000148,346,-57
0x2000014a,491,145
0x2000014c,434,-57
0x2000014e,377,-57
0x20000150,320,-57
0x20000152,461,141
0x20000154,404,-57
0x20000156,347,-57
0x20000158,492,145
0x2000015a,435,-57
0x2000015c,378,-57
0x2000015e,321,-57
0x20000160,462,141
0x20000162,405,-57
0x20000164,348,-57
0x20000166,493,145
0x20000168,436,-57
0x2000016a,379,-57
0x2000016c,322,-57
0x2000016e,463,141
0x20000170,406,-57
0x20000172,349,-57
0x20000174,494,145
0x20000176,437,-57
0x20000178,380,-57
0x2000017a,323,-57
0x2000017c,464,141
0x2000017e,407,-57
0x20000180,350,-57
0x20000182,495,145
0x20000184,438,-57
